N;Tiempo
100;0.00703
200;0.02097
300;0.05000
400;0.08600
500;0.14391
600;0.14109
700;0.14191
800;0.15998
900;0.15399
1000;0.15100
1100;0.14900
1200;0.15499
1300;0.15294
1400;0.15200
1500;0.16100
1600;0.15407
1700;0.14900
1800;0.15700
1900;0.15000
2000;0.15100
2100;0.15494
2200;0.15700
2300;0.14807
2400;0.15398
2500;0.15500
2600;0.15600
2700;0.14806
2800;0.14693
2900;0.15803
3000;0.15893
3100;0.15100
3200;0.15407
3300;0.15497
3400;0.15599
3500;0.16099
3600;0.15701
3700;0.15015
3800;0.18099
3900;0.15200
4000;0.14993
4100;0.15107
